right ascension (deg),declination (deg),roll (deg)
83.756333,53.880031,47.952221
144.51061,-3.266264,42.328008
295.767643,11.641966,306.353691
231.547353,-77.197481,255.389919
121.987929,-78.522175,54.779144
223.082782,-27.729712,75.877806
17.118439,10.138231,5.099124
181.976055,31.84312,344.156008
72.859245,20.150842,98.968447
225.788776,-38.509601,228.958335
175.320046,22.574724,224.269136
147.451922,-40.110372,97.31351
175.530985,-4.931724,318.978279
194.733206,-71.588932,308.964549
291.48805,17.418781,293.388886
155.410438,-30.131166,348.259129
24.983423,-59.298779,178.154425
160.27461,86.660064,42.937483
349.905531,-51.166644,329.508719
251.980158,-38.53888,343.670316
203.937028,-37.979726,244.638587
301.443833,-85.042321,305.99101
96.281835,14.41853,77.629388
244.873898,17.459029,114.751514
245.611378,-43.769146,249.048054
261.360753,48.942045,11.786237
153.30876,-66.827566,293.773476
87.24128,76.79607,214.164853
196.652696,40.119392,336.882485
235.143002,-65.701235,123.564679
241.958067,78.687227,54.749802
342.941414,-63.34896,27.265837
237.040699,26.356694,256.066114
297.93426,42.528423,266.04095
188.891372,-46.708208,161.64369
35.257744,60.099656,75.349338
355.486613,-64.792671,151.667608
127.611491,-79.011004,279.235709
198.982006,77.471385,194.970977
215.621329,7.427577,255.995153
7.676592,-45.02566,89.426136
327.026008,45.498193,225.856163
48.826876,41.577705,98.01551
67.64129,51.329371,202.981455
264.110316,75.81127,54.374449
256.883624,-19.491166,180.906794
160.184787,-53.101044,43.570265
112.643883,-53.637182,98.617257
140.680625,-4.515608,304.961232
204.010057,51.766961,324.443064
138.185003,-59.335555,228.87509
2.878701,42.948927,51.902143
226.017415,2.337425,145.804764
354.97958,8.328676,54.589611
36.391611,80.63039,242.2545
158.436191,71.240038,189.655183
77.508119,37.166472,51.867316
357.263223,49.595375,94.922157
58.811535,-83.221693,283.73728
165.98654,23.389036,10.613638
356.450697,26.111668,218.467711
263.150322,2.02889,2.675194
46.582573,1.618082,10.60248
336.760406,42.729854,339.796381
140.242322,3.189593,101.120582
46.455106,57.171525,61.151945
112.519705,16.610826,352.546143
177.08021,-16.829196,311.045911
159.331277,38.122833,213.598558
312.931163,-39.179568,88.782915
345.541663,-35.643207,325.439057
155.197962,-61.050472,30.32307
249.439462,35.209735,67.521482
160.726219,80.617519,136.816997
203.522407,-77.780014,113.509578
217.082968,71.821061,35.334805
79.931395,-28.870394,308.114003
222.518779,-47.549398,268.612599
327.720013,-40.78828,177.58682
65.116312,-36.664106,340.862553
128.768367,41.098837,241.42699
358.206646,-56.130022,240.353058
